Visual Apparent Magnitude,Distance,Distance Error,BV,Spectral Type
9.1,1.25,1.47,1.10,K0
7.17,21.58,1.65,0.617,G0
9.4,7.23,1.56,0.489,
10.30,0.63,1.67,0.254,
9.86,8.72,7.25,0.442,
7.64,9.53,0.87,0.532,F8
8.27,2.16,2.57,0.128,A0
8.44,8.62,1.31,0.423,F2
9.58,4.59,1.21,0.500,
8.43,5.18,1.11,0.7,A0V
8.49,2.50,1.3,1.180,K0
9.64,2.91,1.8,0.310,B8
9.17,2.60,1.31,1.222,K0
8.9,2.96,1.8,1.260,K0
9.0,6.32,1.32,0.903,G8IV
6.25,16.16,0.96,0.526,
8.56,4.77,1.27,0.521,F5
10.81,3.36,2.3,0.565,F8
8.76,2.37,1.28,1.10,K0
7.76,7.41,0.93,0.967,G8IV
7.82,4.11,0.80,1.41,K0III
7.90,3.49,0.74,0.668,F8
8.52,3.31,1.13,1.36,G5
9.73,18.29,1.56,0.990,K3
9.19,6.8,1.68,0.346,F0
8.10,9.3,1.17,0.342,F0
8.75,13.24,1.3,0.552,F8
8.14,5.19,1.99,0.880,K0
8.65,0.53,1.21,1.349,K2III
10.30,0.95,2.86,1.82,K0
6.46,6.78,0.88,1.176,K1III
6.73,5.96,0.76,0.51,A2
7.96,11.84,1.16,0.421,
9.53,4.73,1.44,0.461,F0
8.87,3.15,1.18,0.81,A0V
6.59,6.28,0.78,1.122,K0
8.65,0.54,1.23,1.455,M0
9.64,6.10,1.44,0.432,F2V
9.15,8.21,2.41,0.424,F3V
9.4,4.31,1.25,0.422,F0V
12.4,32.93,3.49,1.473,M1
8.42,3.69,0.90,1.174,K0
8.9,3.38,1.13,1.125,
9.6,1.6,0.94,1.688,K5III
8.9,11.66,1.42,0.455,F2
8.18,0.24,1.1,1.462,K5
8.77,3.82,1.2,1.125,G5
7.36,4.70,0.63,0.146,A2
9.16,4.81,1.11,0.232,A2III
8.82,1.39,1.31,0.979,
11.14,1.86,2.9,0.41,A0V
6.24,0.93,0.57,0.332,B3Ia
9.44,5.68,4.61,0.439,F3V
7.49,15.55,0.95,0.636,G0
6.96,15.84,0.81,0.353,F2V
7.94,2.79,0.95,0.23,
8.69,0.81,0.87,0.120,B8V
8.15,4.83,0.97,0.134,A2
8.45,2.88,1.10,1.655,M0
7.92,1.62,0.97,1.408,K0
7.45,4.99,0.99,0.353,A5
9.1,2.11,1.4,0.956,G8III
8.55,1.38,1.6,1.212,
9.23,0.11,0.93,1.6,K0
9.16,1.19,1.40,1.538,K5
7.90,5.49,0.97,1.71,K0
8.68,3.48,1.17,1.11,K0III
7.78,15.26,1.3,0.563,
8.21,1.46,1.4,0.123,A
8.11,2.92,0.79,0.19,A0
8.29,13.14,0.97,0.488,F6V
7.89,8.63,1.11,0.401,F0
9.67,2.83,1.45,0.397,F0V
8.24,25.29,1.11,0.780,G8V
6.80,6.42,0.75,0.60,A2
8.18,2.81,1.3,1.15,K0
8.44,9.67,0.86,0.508,F5V
4.55,14.31,0.92,0.47,B9IVn
7.45,6.4,0.85,0.244,A3
6.31,3.31,0.60,1.629,M4
8.15,5.15,0.98,0.316,A
8.27,6.16,1.0,0.136,A2
