Visual Apparent Magnitude,Distance,Distance Error,BV,Spectral Type
5.98,7.17,0.90,0.839,G6III
6.25,1.80,0.71,0.70,B8V
10.4,11.42,2.11,0.690,K0+
9.74,0.24,1.5,0.136,A1V
9.65,0.67,1.10,2.470,C+
7.27,7.30,0.71,0.293,F0
6.2,6.24,0.52,0.101,B7IV
8.97,2.57,0.78,1.292,K3III
9.2,0.51,2.40,0.818,G5
6.30,11.10,0.55,0.339,F2III
6.96,7.15,0.90,0.315,F0
9.42,1.7,2.60,0.432,G5
6.32,9.38,1.10,0.13,A0V
8.3,3.77,1.7,0.410,F2
8.32,1.99,0.80,1.10,G8III
8.62,4.51,1.37,1.14,K0
8.86,3.9,1.56,1.79,K0
7.60,2.81,0.64,1.450,K3III
8.56,5.27,3.0,0.498,F8+
10.5,3.32,1.74,1.497,
9.44,2.56,1.32,0.513,G0
10.21,6.90,3.39,,
8.65,2.40,0.84,0.40,B9.5V
8.82,7.70,0.77,0.413,F2
6.84,3.98,0.69,1.311,K2III
6.32,2.97,0.53,1.37,G8II
8.32,2.68,1.12,1.338,K2
4.92,14.49,0.54,1.84,K1III
7.56,8.33,0.97,0.146,
10.10,1.57,2.38,0.15,B
9.94,0.36,2.28,0.547,G5
8.28,5.49,1.4,0.101,A0
9.23,0.33,1.39,1.670,K5
7.42,4.9,0.92,1.311,K2III
8.96,3.46,0.76,0.898,G6V
9.78,5.29,1.55,0.639,F8
4.63,19.69,0.55,0.473,
8.44,1.92,0.85,1.76,K0III
9.43,0.30,1.46,0.554,G0
8.82,1.47,0.90,0.35,B7V
9.89,6.37,1.56,0.483,G0
7.96,6.43,1.16,0.242,A2
8.64,2.87,1.25,0.504,F5
5.28,4.79,0.68,1.568,K5III
8.42,4.23,1.14,0.296,A3
9.5,2.73,1.18,0.165,A0
7.6,3.23,0.68,1.281,
8.78,0.93,0.90,0.13,A0V
9.56,6.22,1.52,0.443,F5
5.93,11.21,0.60,0.179,F0III
7.80,6.75,1.10,0.358,F0
7.97,2.59,0.96,1.352,K2III
8.63,3.30,1.31,1.105,K0
8.70,4.17,1.18,0.401,F2
8.92,1.87,0.86,1.86,K0III
7.47,0.80,0.71,1.335,B2Iape
7.63,4.36,0.95,1.84,K0
8.40,2.57,0.72,0.995,M
9.74,1.27,0.93,0.48,B9IV
7.78,2.50,1.0,1.647,K5
7.74,1.39,0.88,1.158,K0III
8.67,0.12,1.21,1.541,K5
8.64,7.88,1.28,0.499,F5
9.20,7.94,1.61,0.407,F5
8.58,13.38,1.19,0.644,G5
8.13,11.61,0.68,0.407,F2V
8.70,6.11,0.86,0.524,F5V
9.72,5.12,1.8,0.65,A0V
9.10,6.13,1.23,0.446,F8
6.2,0.75,0.57,0.269,A1Ib+
8.73,3.29,1.21,0.340,F
7.26,6.19,1.97,0.344,A5
9.50,9.38,1.58,0.626,G0
8.47,4.30,1.1,1.159,K0
8.33,1.54,0.75,0.112,B9III
7.36,5.32,0.85,0.51,A1V
8.36,20.82,1.25,0.658,G0
8.52,4.30,1.24,0.963,K0
8.55,10.60,1.14,0.485,F8
7.73,14.42,0.83,0.425,F3V
8.3,7.26,1.8,0.468,F5
7.60,4.12,1.2,1.304,K0
4.80,27.55,0.80,0.199,A5V
8.56,2.96,1.26,0.266,A2
4.34,6.8,0.50,1.602,M1III
7.91,10.19,1.13,0.844,G5
9.14,4.73,1.45,0.955,K0
9.22,3.59,0.83,0.503,
9.77,3.62,1.14,0.49,A1V
9.93,8.65,1.44,0.649,F5
8.16,7.91,1.82,0.266,
8.78,1.43,1.11,1.50,G5
8.94,1.70,1.34,1.275,K2
5.12,0.81,0.54,1.636,K3Ib
7.28,5.55,0.96,0.397,F2III
8.55,4.29,1.17,0.993,K0
8.22,0.14,0.72,1.500,K4III
8.52,3.13,0.87,1.390,M3III
7.3,12.3,0.93,0.317,A3
6.82,12.30,0.90,0.191,A3V
7.96,1.56,0.74,1.697,M0III
8.95,6.7,1.10,0.653,
8.70,11.93,1.12,0.774,G6V
9.68,6.47,1.55,0.459,F8
8.99,0.29,0.87,0.20,B5V
8.82,11.67,1.12,0.472,F8
8.60,0.91,0.83,0.5,B9V
8.70,0.78,1.32,1.187,K0
8.73,2.96,0.89,0.58,
6.73,14.52,0.86,0.443,F5
6.96,4.39,0.69,0.721,
7.93,3.39,0.71,0.9,B9V
8.51,1.27,1.11,1.276,K0
9.69,14.1,1.9,0.874,G8V
5.49,4.73,0.84,0.81,B9III
5.24,11.70,1.0,1.172,K2III
8.54,3.28,1.6,0.17,Ap
9.10,7.90,1.15,0.648,G3V
8.39,1.5,1.17,1.252,K2
7.70,2.78,0.67,0.675,A7:V+
7.14,4.91,0.58,1.134,K0III
10.22,22.20,1.35,1.122,K0
9.85,3.8,3.8,0.623,F3V
8.14,2.38,1.31,0.68,A0V
8.59,6.64,1.49,0.379,F0
9.49,1.14,1.68,0.438,A3
10.98,-1.73,2.27,0.650,G0
8.64,3.95,1.11,0.312,F2
8.4,1.97,1.12,0.848,G5
7.42,2.59,0.54,0.0,B6Vne
7.11,6.7,0.60,0.980,K0III
6.45,8.86,0.80,1.172,K0
5.31,9.18,0.52,1.166,K2III
6.75,5.77,0.58,0.8,A0V
9.50,8.84,0.86,0.522,F6IV
7.53,3.57,0.98,0.972,K0
7.60,1.92,0.61,0.133,
8.21,5.15,1.7,0.80,A0
6.98,7.35,0.69,0.80,A0
7.85,4.65,0.71,0.120,A2IV
7.95,3.11,1.6,1.515,K4III
9.97,6.7,2.34,0.427,F0
10.87,3.79,2.16,0.523,
8.24,3.79,1.9,1.120,K0
2.21,4.71,0.46,0.189,A8Ib
9.4,2.23,1.7,0.314,A3
10.66,3.94,2.23,0.564,F8
5.83,8.37,0.92,1.49,K0III
9.12,1.36,1.68,1.436,
9.94,1.69,1.17,0.35,
7.74,2.53,0.67,1.290,K1III
7.77,9.38,1.5,0.372,F0
8.17,2.53,0.72,0.159,B3
6.82,8.3,0.88,0.273,F0
6.79,2.89,0.57,1.308,K1III
12.56,20.46,26.68,,
9.45,0.9,1.6,0.432,
9.20,0.95,1.44,0.915,K0
10.70,-1.70,3.78,0.727,F8II
5.38,29.83,0.60,0.415,F4V
6.85,6.40,0.87,1.12,G5
10.14,0.40,1.62,1.84,K0
7.32,15.1,1.67,0.512,F5
8.37,9.95,1.19,0.351,A9IVm
9.52,5.83,1.1,0.545,F6V
8.70,1.61,1.20,0.407,F5
8.44,4.38,1.27,1.160,K0
8.90,8.6,1.26,0.516,F8
7.95,1.18,0.68,0.609,F3II
5.28,4.52,0.64,0.21,A1V
8.64,9.49,1.64,0.546,F8V
8.11,4.42,0.60,0.218,
7.84,6.58,1.2,1.124,K0
5.86,12.37,0.51,0.24,A0V
9.96,1.56,2.65,,
8.78,8.81,0.99,0.500,
7.7,7.68,0.93,1.33,K0
7.66,5.95,1.0,1.150,K0
7.9,3.72,0.73,1.84,K0
5.96,8.89,0.85,0.63,A1V
6.96,9.50,0.93,0.174,A0
10.12,36.74,3.39,1.320,K5
8.32,11.57,0.68,0.440,F3V
6.77,17.77,0.87,0.409,F6V
8.85,0.38,1.21,0.65,B9
8.37,3.56,1.5,0.79,A0
8.82,3.53,1.25,0.256,F0
9.75,15.40,2.84,0.128,A1IV
10.62,0.85,1.91,0.661,F8
8.65,3.32,1.2,0.175,A3V
7.97,6.8,1.12,0.472,F5
6.33,4.2,0.57,1.403,K3III
9.20,2.41,0.86,0.40,A1V
8.47,4.43,0.80,0.475,F5IV
6.97,3.22,0.86,1.154,K0
7.70,8.84,0.77,1.179,
9.53,7.2,1.51,0.346,F2
8.91,6.80,1.43,0.424,F8
7.64,4.33,0.94,1.124,
8.39,0.80,1.11,0.998,G5
8.89,8.38,1.24,0.629,G5
7.8,4.88,0.93,0.922,G5
6.40,6.2,1.5,0.95,A2IV
6.14,2.40,0.52,1.254,K2III
9.8,4.12,1.20,0.209,A2
7.20,57.5,1.8,0.992,K3V
8.29,7.19,0.83,0.402,F3V
10.19,3.54,1.72,0.424,F5
8.16,1.44,1.80,0.24,A0V
7.78,30.50,1.7,0.869,K0
8.51,3.77,2.68,0.51,A0
7.7,13.44,0.65,0.665,
9.3,1.58,0.88,0.13,B9V
7.21,2.20,0.61,0.146,B3IV
8.50,2.36,1.4,1.382,
10.51,15.43,2.3,0.993,K0
7.57,2.30,0.91,1.136,K1IV
8.39,2.86,0.89,0.233,A3
8.64,0.86,1.23,1.142,K0
5.26,7.57,0.48,0.62,
8.56,7.43,1.11,0.810,G5
9.23,0.90,1.12,1.182,K2
8.0,3.73,1.14,1.67,G5
8.34,7.20,1.3,0.504,F5
8.47,9.49,1.9,0.458,F3V
9.52,42.59,1.9,1.185,K7V
8.10,11.37,0.90,0.453,F3V
8.48,2.13,0.88,1.312,K2III
7.49,7.59,0.87,0.259,
9.45,2.79,1.2,0.351,A5
9.37,4.40,1.6,0.298,A2
8.32,4.2,1.21,1.300,K5
10.2,-3.72,2.39,,
9.39,6.50,1.37,0.280,A5
7.50,6.93,0.57,1.219,K2III
7.76,6.48,1.8,1.58,K0
7.89,5.90,0.97,0.408,F0
8.80,0.36,1.15,0.240,A3
9.83,2.15,1.18,0.410,F2
9.20,3.42,0.84,0.540,G0
8.79,2.0,0.82,0.46,B9V
8.57,5.40,1.12,0.455,F2
7.58,8.6,0.58,0.68,
9.25,3.27,0.99,0.120,
8.22,3.90,1.3,0.156,A2
9.31,1.65,1.43,0.145,A0
6.78,2.18,0.55,1.469,
7.81,7.48,0.89,0.216,Ap
5.94,6.46,2.67,0.177,A8V
9.6,5.13,1.37,0.796,K0
8.27,4.18,1.15,1.271,
9.12,1.46,0.89,0.505,A9II
8.73,0.95,0.85,1.18,K1III
10.0,5.84,3.8,0.243,A3
8.83,3.51,1.0,0.61,A0V
6.89,10.51,0.61,0.60,A1V
10.85,2.96,2.38,0.564,F8
8.85,3.73,1.36,0.86,A0
8.54,0.77,1.5,1.606,K
8.64,8.5,2.45,0.445,F5
8.88,3.52,0.97,1.140,K1III
8.46,2.34,0.89,0.128,A1V
10.83,5.44,5.25,0.629,G0
5.83,0.17,0.52,0.474,B7Iab
8.61,6.92,1.11,0.279,A2
8.76,2.76,0.85,0.333,A8IV
9.25,5.57,1.33,0.419,F8
7.48,1.3,0.73,1.545,M4III
8.28,7.22,1.52,0.277,A2
7.55,0.16,0.60,0.48,
8.36,2.76,0.81,0.18,B9V
8.97,1.16,1.7,1.604,K5
9.35,2.78,1.60,0.982,K0
8.46,13.76,1.10,0.566,G1V
8.25,10.15,1.13,0.885,G5
9.47,9.54,1.17,0.501,F8
3.82,26.75,0.81,0.66,A1V
9.21,3.23,1.46,0.475,F5
7.20,2.39,0.65,1.95,
8.42,4.38,1.14,1.176,K0
8.48,2.51,0.72,0.94,
8.60,3.12,1.2,0.398,F5
9.9,2.98,0.90,0.169,B6
8.63,6.13,1.30,0.363,F2
8.58,4.19,1.2,1.31,K0III
6.98,5.73,1.5,0.179,
8.81,0.15,0.85,0.256,B5III
6.61,25.51,0.97,0.487,F5
7.96,5.24,1.99,0.100,A2
8.40,4.33,1.12,1.21,K0
7.34,2.25,1.1,1.582,K5
7.2,14.32,0.63,0.992,K1III
9.73,2.77,1.4,0.460,
7.95,21.52,0.82,0.626,G2V
9.10,0.29,1.3,1.601,K5
8.94,1.46,0.93,1.201,K2III
8.62,5.64,1.19,0.941,G8III
12.1,-4.78,3.6,,
7.73,6.95,1.12,0.236,A3
7.88,1.66,0.75,1.90,K0III
7.19,5.91,0.80,0.33,A0V
9.36,6.69,0.99,0.512,
6.84,10.21,0.52,0.161,A3Vs
9.60,1.81,1.71,0.417,F2
9.18,1.42,1.22,0.196,
7.76,2.21,1.15,1.146,K0
8.84,16.0,1.25,0.625,G0
8.44,6.44,1.10,0.246,F0
7.66,4.69,0.94,1.36,K0
9.80,0.32,1.14,0.200,K5
6.91,4.87,0.96,0.19,A0
6.61,4.12,0.84,1.426,K4III
9.46,2.13,1.0,0.500,
8.46,5.9,1.94,0.256,
7.4,19.14,0.86,0.538,F6V
8.93,2.21,1.15,0.90,
9.28,2.54,1.28,1.66,K0
8.37,2.72,1.3,0.64,B9V
8.33,9.91,1.11,0.466,F5
11.42,30.75,2.45,1.586,M
7.81,3.6,0.95,1.87,K0
8.69,15.41,0.92,0.577,
8.0,13.75,1.25,0.725,G3V
9.58,4.21,7.9,1.274,K7
8.67,-1.51,1.8,1.319,
8.15,34.6,1.17,0.860,K0
7.47,3.21,0.65,1.631,M1III
8.28,8.68,1.13,0.436,F5
7.17,5.55,1.18,0.995,K0
9.31,2.16,1.2,0.553,F5V
6.28,0.95,0.51,0.99,B5V
5.79,8.14,0.90,1.285,
6.62,7.26,0.83,0.86,A2Vs
7.94,2.27,0.83,1.680,M0III
8.40,3.20,0.92,1.465,K4III
7.77,0.70,1.9,1.493,K2
9.31,1.76,0.96,0.956,G5
8.60,28.29,0.77,0.821,K0V
8.8,3.19,0.86,1.285,K2
4.77,10.20,0.83,0.927,G8III
9.19,3.52,1.19,0.495,G
8.45,0.12,1.27,1.363,K0
6.40,4.79,0.59,0.87,B8V
7.75,0.96,1.12,1.625,K5
7.90,10.2,1.0,0.522,G0
7.99,6.5,0.69,0.400,F2III
6.62,10.19,0.92,0.259,A5
9.13,13.99,3.0,0.690,G5V
7.89,1.89,0.79,0.962,G5
8.44,4.70,1.15,0.495,F2
9.14,1.11,1.59,0.877,K
7.9,5.34,0.98,1.29,
6.42,8.80,0.60,1.50,G8III
8.98,1.51,0.74,0.31,B9V
7.9,5.19,0.67,1.8,
7.88,3.18,1.12,1.285,K2
8.57,3.69,1.34,1.116,K0
8.29,0.6,2.15,0.44,A0V+
8.31,3.96,0.75,1.82,G8III
7.90,14.32,0.66,0.553,F8
8.33,4.7,1.6,0.83,A0
9.53,5.58,6.75,0.121,A0
9.38,1.73,1.19,0.850,F2
8.11,10.28,0.81,0.594,G0
7.27,0.69,0.63,0.100,B5III
8.64,2.19,1.14,1.0,G5
9.80,3.88,1.59,0.416,F2
8.64,4.10,1.14,0.362,F0
9.8,2.48,1.17,0.976,
8.46,6.25,0.99,0.493,F5V
8.47,3.96,1.24,0.944,K0
10.25,6.25,1.81,0.460,F0
8.16,3.21,0.71,1.12,
8.71,2.21,1.0,1.212,K2
8.62,3.27,1.12,0.187,A2III
7.73,4.78,0.76,0.990,
7.52,4.88,1.3,1.50,K0
9.30,-1.38,5.7,0.970,B+
10.87,8.37,2.49,0.395,F2
8.7,8.75,0.67,0.451,F3V
8.72,1.29,1.7,0.146,A0V
7.74,18.43,0.79,0.766,G5
9.51,4.63,1.55,0.678,G0
6.70,6.96,0.63,1.227,K2III
12.40,,,,
8.54,11.73,1.10,0.529,F8
9.20,1.51,1.24,0.244,
7.60,2.50,0.55,0.37,
8.88,1.81,0.87,0.67,A0V
10.58,25.93,1.78,1.203,K5
6.99,16.16,1.14,0.390,F4V
7.41,2.64,0.58,0.48,B9.5V
7.55,4.21,0.97,0.998,G5
7.3,2.51,0.76,1.284,K1III
8.80,9.97,1.26,0.729,G3IV
7.99,2.75,0.82,1.61,K0III
8.55,0.76,0.87,0.673,
8.96,9.2,1.41,0.764,G5
9.62,2.87,1.45,0.422,B8
4.80,13.39,0.82,0.913,F5V+
7.55,6.67,0.91,1.43,K0
6.54,8.6,0.82,0.85,A0
6.4,6.35,0.60,1.396,
8.3,3.5,0.61,0.21,Ap
9.7,2.85,0.80,0.145,A0IV
6.91,2.33,0.54,0.88,B5Vn
8.92,4.3,1.33,0.917,K0
8.19,4.9,1.15,1.70,
8.2,5.4,0.73,0.93,A0V
8.12,3.6,0.73,1.74,G8III
8.73,25.39,1.15,0.782,G5
7.75,2.4,0.63,0.96,B5V
6.66,2.52,1.17,1.570,M4III
8.96,2.28,0.89,1.230,K2
7.24,4.68,0.90,0.924,G5
7.77,5.75,0.93,0.370,F2
9.69,1.29,1.67,0.708,G0
7.41,10.85,0.53,0.965,K0IV
8.43,1.84,1.44,0.983,G5
8.35,2.58,0.71,1.499,
9.89,9.40,1.50,0.560,F8
9.72,0.52,1.18,0.257,B5nne
7.87,3.94,0.85,0.174,A3V
8.71,5.53,1.7,0.489,G5
6.14,34.48,0.75,0.436,F3V
6.80,5.15,1.14,0.8,B+
7.39,16.19,0.98,0.478,F8
9.10,41.40,1.38,1.163,K2
7.86,4.44,4.31,0.236,A5
8.14,12.87,1.1,0.470,
8.46,4.21,0.92,0.965,K0III
7.52,5.41,0.87,1.160,K1III
9.7,8.23,1.40,0.504,G0
8.41,3.39,0.69,0.975,K0w
8.38,1.10,1.6,0.72,A0
11.56,4.17,1.65,,
8.0,4.77,0.90,1.10,K0III
8.1,8.22,0.87,0.491,F3V
8.62,6.69,0.75,0.443,F5V
8.96,4.12,1.40,1.45,K0
8.95,1.68,0.84,0.996,
7.96,0.71,0.68,0.384,A2II
6.30,20.69,0.78,0.468,F6V
7.96,3.51,1.18,0.347,F0
4.79,14.65,0.49,0.926,G6III
9.13,7.60,1.18,0.483,F6V
6.12,20.91,1.49,0.380,F3V+
7.82,33.54,0.96,0.720,G5
3.14,14.69,0.81,1.550,
7.64,4.25,0.67,0.90,A3V
8.6,3.71,0.61,0.60,A0V
9.0,22.86,1.39,0.847,K0
8.18,1.62,1.10,1.34,K0
8.75,5.44,1.15,0.118,A0V
6.99,10.53,0.95,0.385,F2
8.30,1.58,0.74,1.274,K1III
7.43,6.39,1.4,0.403,F3V
7.26,19.56,0.98,0.627,G0
7.45,18.70,0.97,0.442,F5
10.5,3.1,2.59,0.564,F8
8.1,12.75,1.9,0.471,F0
8.51,8.63,1.13,0.397,F4IV
6.57,4.30,0.86,0.3,A1V
6.66,6.44,1.0,0.930,K0
9.62,31.54,1.51,0.956,K3V
9.21,4.73,1.39,1.71,K0
7.27,7.40,0.73,0.989,K0III
6.67,22.11,0.89,0.507,F8V
11.93,2.27,1.84,0.202,B2
9.76,4.37,1.53,0.479,F8
8.26,15.71,1.14,0.502,F8
9.78,10.91,1.78,0.593,F8
8.58,0.56,1.40,1.198,K0
9.5,8.89,1.52,0.453,F2
8.70,10.86,1.15,0.656,G0
8.58,10.15,1.27,0.746,G5
6.40,4.57,0.83,1.305,K0
9.63,1.86,1.53,0.456,G0
7.82,8.76,0.97,0.299,
8.27,2.57,1.33,1.350,K2
8.89,2.5,0.84,0.79,B8V
7.11,11.37,1.7,0.317,A2
6.98,7.84,0.91,0.280,A5
7.77,6.73,0.75,0.139,A1V
6.16,10.30,0.83,1.97,K3III
8.70,2.14,1.25,0.986,K0
8.91,0.29,1.22,1.603,K3III
8.65,2.51,0.82,0.982,G6III
8.39,1.99,1.8,1.43,K0
8.96,1.32,1.37,1.453,K5
4.71,6.25,0.70,1.633,M0III
7.47,1.64,0.76,1.141,
9.96,-1.23,1.57,0.187,B5
7.38,3.24,0.74,0.100,B9.5V
11.19,4.23,4.7,0.604,
8.22,4.60,1.20,1.274,K2
9.49,95.37,0.98,1.472,M0V
9.8,1.97,1.44,0.904,G5
6.79,10.27,0.89,0.138,A0
7.22,4.91,0.61,0.990,K0III
8.46,12.2,1.33,0.482,F5
7.74,10.5,1.8,0.408,F2
8.84,1.50,1.12,1.505,K2
5.79,6.84,1.0,1.511,M4IIIa
7.21,4.33,0.94,0.20,B9
7.69,15.2,1.9,0.604,G0
8.49,6.48,1.12,1.52,K0
7.10,7.96,0.75,0.174,A0
5.61,11.84,0.52,0.190,A3IVs
8.61,0.57,1.20,1.514,K7
11.5,6.65,4.1,0.564,F8
8.34,4.20,0.77,1.196,K1III
5.56,5.77,0.57,1.637,M3Ib
8.10,5.74,0.96,0.372,F0
9.17,0.51,1.1,0.39,A0V
7.59,2.7,0.94,1.328,K2III
8.27,3.97,0.97,0.103,A0IV
8.66,0.38,1.32,1.556,K2
9.24,0.96,1.8,1.107,
8.20,4.2,1.19,1.71,K2
9.7,1.23,1.24,1.304,K7
9.30,5.90,1.26,0.476,G0
10.15,2.62,1.26,0.371,B2:Vne
8.49,2.15,1.11,1.458,M2
7.71,2.71,1.34,1.320,K0
8.7,15.39,0.70,0.819,
7.43,10.26,0.71,0.297,A2
8.41,4.99,1.6,0.143,A2
8.10,27.25,0.91,0.718,G6V
2.47,6.5,0.48,0.141,B2IV
7.86,9.2,1.15,0.508,F8
8.95,9.65,1.27,0.495,F5
7.59,4.38,1.4,0.909,G5
8.45,2.83,0.90,0.73,A0V
8.90,-2.13,1.94,1.87,K0
8.34,8.52,1.26,0.870,K0
8.3,4.25,1.17,1.154,K0
7.57,1.16,0.63,0.752,F8II
8.49,14.18,1.13,0.581,G0
8.92,1.61,0.92,1.566,K3V
8.27,14.86,1.10,0.652,G3V
9.36,9.49,1.58,0.616,G3V
10.19,19.24,2.5,0.824,
7.48,0.81,0.74,1.518,K4III
8.26,1.80,0.64,0.19,B8III
8.85,26.82,1.8,0.801,K1V
7.61,1.9,0.74,1.356,K2III
8.18,5.9,1.3,0.73,A0
7.46,11.91,0.96,0.458,F2
7.33,8.8,1.2,0.234,A2
5.74,5.72,0.53,0.903,
7.69,41.19,1.8,0.987,K2V
7.94,9.13,0.74,0.509,F5V
8.50,3.20,1.26,1.278,K2
7.74,2.26,0.63,0.84,
8.31,11.78,1.10,0.810,G5
6.97,9.49,1.9,0.402,F3III
8.30,0.6,0.72,0.100,
8.51,3.37,1.31,1.24,K0III
8.57,1.67,1.87,0.600,A0
10.56,4.52,2.20,0.393,F2
8.37,3.14,1.72,0.400,F2
6.94,6.21,1.18,0.26,B9+
6.72,6.5,0.87,0.978,G8III
8.56,1.9,0.77,1.669,M0III
8.92,1.35,0.93,0.30,A0V
8.93,4.6,1.36,0.934,K2
9.20,8.40,1.31,0.345,F2
6.53,8.12,0.57,1.125,K2III
8.63,2.20,0.87,0.121,A0Vm
9.6,17.13,5.77,0.765,G5
9.17,9.51,8.76,0.828,G5
8.0,3.62,1.4,1.14,K0III
9.32,2.68,1.53,1.76,G5
9.20,1.67,1.3,0.56,A0V
8.15,3.91,0.80,0.140,A0
10.72,2.93,1.92,0.369,G0
7.75,5.43,0.94,0.165,A2
9.62,15.75,8.14,0.770,
7.98,6.7,0.81,0.344,
7.69,4.9,1.11,1.346,K0
8.16,1.93,0.62,0.49,
8.76,11.11,1.18,0.484,F5V
7.21,27.1,0.71,0.557,G0V
8.81,21.11,0.96,0.675,G8V
7.39,3.54,1.3,0.943,K0
8.61,4.83,0.91,0.460,F5V
6.51,7.20,0.80,0.246,A5spe
8.77,7.13,1.34,0.359,F0
7.82,1.33,0.76,0.83,A2IV
8.86,0.7,1.8,1.80,K1III
8.71,2.68,1.13,1.462,K3III
8.19,12.47,2.5,0.579,
8.64,3.62,0.95,0.379,F2
8.30,5.68,0.75,0.430,F5V
8.29,21.38,0.99,0.724,G3V
8.73,4.54,0.94,1.127,
8.95,0.33,1.23,1.643,M0
8.77,9.24,0.73,0.383,F3V
8.86,3.77,0.98,0.334,
8.75,0.77,1.11,1.77,K
8.30,1.38,0.80,1.285,K2III
7.72,4.21,0.62,0.116,A1V
8.36,3.9,0.82,1.36,
8.84,2.43,0.87,0.20,A0V
6.81,4.5,0.59,1.36,
9.46,27.90,2.94,1.595,M0
9.52,16.16,2.43,0.900,G5
7.62,7.63,0.71,0.391,
8.88,2.18,0.80,0.59,
8.48,10.81,1.8,0.670,G5
7.69,22.9,1.3,0.594,G5
7.95,5.36,0.70,0.42,A1V
8.79,5.15,1.16,1.129,K0
4.71,17.92,0.73,0.892,G8III
6.83,4.82,0.94,1.574,M2III
8.44,11.91,7.18,0.414,F0
7.31,11.48,2.7,0.345,F0
7.36,3.17,0.75,1.416,K5
9.27,4.69,1.23,0.569,F6V
8.71,1.27,0.89,0.97,B0IV
8.75,6.72,1.20,0.565,G0
9.94,22.30,1.83,0.858,
9.21,2.41,1.79,1.122,K0III
9.24,7.32,1.49,0.509,F8
8.28,2.46,0.96,1.182,K1III
9.46,2.78,1.66,1.484,K7
9.46,0.8,1.10,0.200,A6V
7.78,2.54,0.60,0.198,A4V
11.35,18.81,3.39,1.236,
9.68,2.62,1.3,1.537,K2
7.93,0.24,0.95,0.104,B9
8.40,2.98,1.10,1.245,K2
6.27,2.34,0.55,0.144,B5V
7.8,19.29,0.51,0.629,
8.43,3.8,0.80,0.5,Ap
12.52,0.23,2.99,,
6.30,1.44,0.51,1.477,
9.10,1.17,1.34,1.162,K0
9.16,17.49,1.79,0.583,G0
8.51,7.52,2.43,0.454,F2
6.82,2.71,1.1,1.589,M4III
7.33,4.96,0.91,0.41,B9V
9.44,3.88,1.41,0.180,A2
8.82,2.52,0.87,0.934,
7.75,2.68,0.95,1.132,K0III
6.41,4.80,0.87,0.856,
8.65,2.47,1.6,1.393,K2
8.54,2.19,1.12,1.30,G5
7.88,4.10,0.97,0.27,
8.81,0.42,1.17,0.903,K0
9.99,11.76,1.30,0.861,
7.41,7.38,1.3,1.113,K0III
6.73,10.18,0.63,0.114,A3V
8.93,15.35,1.14,0.678,G0
6.21,2.89,0.53,0.93,B7III
6.86,8.68,0.96,0.214,A2
9.72,3.36,1.78,0.893,K0
7.59,4.91,0.69,0.348,A9V
8.94,6.71,0.84,0.329,A9V
10.53,7.57,1.88,0.675,G0
9.39,5.58,1.53,0.412,G0
8.34,6.44,0.84,0.480,F6IV
6.47,9.92,0.59,0.193,A1m
7.72,30.71,1.24,0.680,G0
8.68,0.71,0.96,1.122,
7.93,11.48,1.15,0.474,F6V
9.72,3.46,3.73,0.365,F2+
8.2,3.57,0.85,1.351,K2
6.57,10.42,0.64,0.52,
7.18,3.95,1.7,1.50,K0
7.59,6.14,0.82,1.60,
8.19,1.59,0.72,0.9,
8.28,12.4,0.81,0.520,F8
8.97,0.37,1.92,0.680,G5
11.60,34.28,2.81,1.484,
8.11,6.49,1.78,0.500,F5
7.62,5.21,0.97,0.315,F0
7.48,1.72,1.8,1.435,K2
8.68,3.86,1.1,1.22,K0III
10.16,2.2,1.61,0.516,F5
6.5,0.57,0.53,0.528,A7Iab
8.68,1.40,1.13,0.739,G5
8.60,10.54,0.93,0.520,
8.72,0.89,0.76,0.8,B9V
9.31,2.90,1.5,0.943,G8IV
8.77,12.54,1.42,0.600,G5
8.46,6.77,1.3,0.345,F0V
8.89,10.4,1.50,0.503,G0
5.99,9.67,0.54,1.60,K0III
8.91,2.21,1.13,1.185,
7.65,1.57,0.79,1.201,K2
8.74,10.74,1.21,0.616,G0
6.79,5.57,0.94,1.264,K2III
8.8,2.72,1.20,1.475,K2
5.34,17.69,0.45,0.454,
7.33,4.10,0.87,1.403,K2
10.88,4.63,2.43,0.557,G0
10.57,19.46,2.27,1.120,K8
8.38,4.49,1.35,1.629,M0
8.18,2.83,1.3,0.586,F8
8.95,10.89,1.26,0.540,F6V
6.5,6.29,0.54,0.193,
10.20,0.32,1.66,1.510,Gp
9.25,2.2,0.96,1.6,G5
8.83,0.98,1.25,1.68,
8.26,1.10,1.3,1.353,K2
7.24,4.11,0.92,1.107,K0
9.16,2.64,1.47,0.910,K0
10.11,16.46,0.99,0.561,G0
7.72,7.26,1.2,1.54,K0
8.88,3.32,1.38,0.504,F5
9.8,3.19,0.97,0.37,A0V
6.68,10.59,0.86,0.215,F0V
8.52,18.11,0.73,0.650,G2V
7.48,2.65,0.81,1.648,M1III
8.2,2.54,0.71,0.38,A1IV
8.90,4.20,1.6,1.46,K0III
7.56,10.53,1.5,0.281,A2
10.19,1.5,1.82,0.268,sdO
8.96,3.57,0.95,0.503,
8.55,3.92,0.72,1.78,K0III
6.73,19.63,1.70,0.513,F5
9.81,3.67,1.55,0.507,F2
9.30,1.45,1.30,1.648,K2
7.18,6.10,1.47,0.749,G0III
7.78,5.46,0.70,1.86,
8.80,2.64,1.4,1.487,K2
8.49,3.46,1.4,0.303,
